"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","±7,850","±5,772","±2,420","±3,434","±2,686","±5,180","","±5,602","±3,214","±1,750","±1,863","±1,177","±3,270","±5,957","±3,838","±1,801","±3,066","±1,849","±3,349","±3,547","±1,847","±1,242","±1,250","±1,664","±2,242"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.1%","9.3%","16.7%","11.5%","28.4%","","(X)","38.0%","9.8%","15.9%","6.0%","30.3%","(X)","33.8%","8.6%","19.5%","10.8%","27.4%","(X)","29.1%","10.1%","12.3%","20.8%","27.7%"
"        Margin of Error","(X)","±1.7","±0.9","±1.2","±1.0","±1.5","","(X)","±2.9","±1.9","±1.7","±1.3","±2.8","(X)","±2.5","±1.3","±2.2","±1.4","±2.3","(X)","±2.7","±1.8","±1.8","±2.4","±3.1"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","131,708","55,453","6,287","28,007","6,611","35,350","","40,939","17,922","2,064","8,593","1,037","11,323","58,566","24,878","2,842","13,105","2,417","15,324","32,203","12,653","1,381","6,309","3,157","8,703"
"        Margin of Error","±4,670","±4,120","±1,571","±2,570","±1,261","±3,285","","±3,027","±2,064","±930","±1,595","±589","±1,800","±3,221","±2,403","±805","±1,987","±725","±1,990","±2,219","±1,630","±704","±1,129","±785","±1,447"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.1%","4.8%","21.3%","5.0%","26.8%","","(X)","43.8%","5.0%","21.0%","2.5%","27.7%","(X)","42.5%","4.9%","22.4%","4.1%","26.2%","(X)","39.3%","4.3%","19.6%","9.8%","27.0%"
"        Margin of Error","(X)","±2.6","±1.2","±1.8","±1.0","±2.3","","(X)","±4.1","±2.3","±3.3","±1.4","±4.1","(X)","±3.6","±1.4","±2.9","±1.2","±3.1","(X)","±4.4","±2.1","±3.0","±2.4","±4.3"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","150,618","40,750","20,004","19,202","25,896","44,766","","50,205","16,691","6,856","5,944","4,465","16,249","69,106","18,255","8,085","11,778","11,352","19,636","31,307","5,804","5,063","1,480","10,079","8,881"
"        Margin of Error","±5,520","±3,419","±1,968","±2,327","±2,415","±3,745","","±3,574","±2,476","±1,351","±1,282","±1,001","±2,338","±4,295","±2,273","±1,591","±1,994","±1,727","±2,759","±2,427","±1,027","±1,090","±544","±1,518","±1,502"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.1%","13.3%","12.7%","17.2%","29.7%","","(X)","33.2%","13.7%","11.8%","8.9%","32.4%","(X)","26.4%","11.7%","17.0%","16.4%","28.4%","(X)","18.5%","16.2%","4.7%","32.2%","28.4%"
"        Margin of Error","(X)","±2.0","±1.3","±1.5","±1.6","±2.0","","(X)","±4.2","±2.8","±2.3","±2.0","±3.7","(X)","±2.9","±2.1","±2.7","±2.5","±3.4","(X)","±3.1","±3.2","±1.7","±4.1","±4.2"
"South Carolina","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,134,636","367,724","115,338","253,941","156,929","240,704","","337,792","113,784","40,953","70,672","29,548","82,835","517,413","169,229","48,696","126,519","66,073","106,896","279,431","84,711","25,689","56,750","61,308","50,973"
"        Margin of Error","±18,827","±9,543","±6,235","±8,790","±8,361","±8,481","","±9,608","±5,911","±4,099","±5,464","±3,429","±5,064","±12,655","±7,405","±4,174","±6,574","±4,990","±6,097","±7,724","±4,277","±2,928","±3,968","±4,637","±3,883"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","32.4%","10.2%","22.4%","13.8%","21.2%","","(X)","33.7%","12.1%","20.9%","8.7%","24.5%","(X)","32.7%","9.4%","24.5%","12.8%","20.7%","(X)","30.3%","9.2%","20.3%","21.9%","18.2%"
"        Margin of Error","(X)","±0.7","±0.6","±0.7","±0.6","±0.7","","(X)","±1.6","±1.2","±1.4","±0.9","±1.4","(X)","±1.2","±0.8","±1.2","±0.9","±1.0","(X)","±1.3","±1.0","±1.3","±1.4","±1.4"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","524,724","219,589","30,339","142,478","25,782","106,536","","145,392","60,616","8,944","35,403","4,866","35,563","235,637","99,822","12,468","66,877","10,297","46,173","143,695","59,151","8,927","40,198","10,619","24,800"
"        Margin of Error","±11,815","±8,087","±3,230","±6,473","±2,910","±6,185","","±5,561","±4,375","±2,150","±3,240","±1,335","±3,595","±8,245","±6,002","±1,962","±4,231","±1,829","±4,018","±4,607","±3,225","±1,776","±3,157","±1,859","±2,821"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.8%","5.8%","27.2%","4.9%","20.3%","","(X)","41.7%","6.2%","24.4%","3.3%","24.5%","(X)","42.4%","5.3%","28.4%","4.4%","19.6%","(X)","41.2%","6.2%","28.0%","7.4%","17.3%"
"        Margin of Error","(X)","±1.3","±0.6","±1.1","±0.5","±1.1","","(X)","±2.5","±1.5","±2.1","±0.9","±2.2","(X)","±1.9","±0.8","±1.7","±0.7","±1.5","(X)","±2.0","±1.2","±2.1","±1.2","±1.9"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","609,912","148,135","84,999","111,463","131,147","134,168","","192,400","53,168","32,009","35,269","24,682","47,272","281,776","69,407","36,228","59,642","55,776","60,723","135,736","25,560","16,762","16,552","50,689","26,173"
"        Margin of Error","±12,224","±5,733","±5,322","±5,753","±7,253","±5,886","","±6,506","±3,575","±3,290","±4,022","±2,727","±3,962","±8,547","±3,916","±3,406","±4,810","±4,559","±4,298","±5,853","±2,653","±2,252","±2,189","±3,927","±2,329"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.3%","13.9%","18.3%","21.5%","22.0%","","(X)","27.6%","16.6%","18.3%","12.8%","24.6%","(X)","24.6%","12.9%","21.2%","19.8%","21.6%","(X)","18.8%","12.3%","12.2%","37.3%","19.3%"
"        Margin of Error","(X)","±0.9","±0.9","±0.9","±1.0","±0.8","","(X)","±1.9","±1.6","±1.9","±1.3","±1.9","(X)","±1.4","±1.2","±1.5","±1.4","±1.3","(X)","±1.6","±1.6","±1.5","±2.3","±1.7"
"South Dakota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","186,946","58,634","25,175","32,832","37,110","33,195","","61,547","21,050","9,739","10,104","7,569","13,085","84,030","26,857","11,578","17,923","14,937","12,735","41,369","10,727","3,858","4,805","14,604","7,375"
"        Margin of Error","±6,385","±4,460","±2,927","±2,992","±3,216","±2,756","","±3,789","±2,429","±1,808","±1,721","±1,465","±1,918","±4,794","±3,070","±2,393","±2,465","±2,121","±1,802","±3,118","±1,576","±923","±1,121","±2,257","±1,223"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","31.4%","13.5%","17.6%","19.9%","17.8%","","(X)","34.2%","15.8%","16.4%","12.3%","21.3%","(X)","32.0%","13.8%","21.3%","17.8%","15.2%","(X)","25.9%","9.3%","11.6%","35.3%","17.8%"
"        Margin of Error","(X)","±2.1","±1.5","±1.5","±1.6","±1.4","","(X)","±3.2","±2.9","±2.5","±2.3","±2.8","(X)","±3.3","±2.6","±2.6","±2.2","±2.2","(X)","±3.5","±2.2","±2.5","±4.3","±2.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,918","35,924","6,681","19,760","11,239","15,314","","27,369","11,285","2,121","6,603","1,618","5,742","39,688","16,040","3,333","9,896","4,937","5,482","21,861","8,599","1,227","3,261","4,684","4,090"
"        Margin of Error","±4,379","±3,056","±1,539","±2,621","±1,655","±1,793","","±2,297","±1,539","±828","±1,477","±629","±1,310","±3,156","±2,146","±1,209","±2,033","±1,145","±1,059","±1,883","±1,365","±670","±856","±1,122","±968"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","40.4%","7.5%","22.2%","12.6%","17.2%","","(X)","41.2%","7.7%","24.1%","5.9%","21.0%","(X)","40.4%","8.4%","24.9%","12.4%","13.8%","(X)","39.3%","5.6%","14.9%","21.4%","18.7%"
"        Margin of Error","(X)","±2.8","±1.6","±2.6","±1.8","±2.0","","(X)","±4.7","±2.9","±4.8","±2.3","±4.4","(X)","±4.7","±2.9","±4.2","±2.7","±2.8","(X)","±5.0","±3.1","±3.7","±4.7","±4.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","98,028","22,710","18,494","13,072","25,871","17,881","","34,178","9,765","7,618","3,501","5,951","7,343","44,342","10,817","8,245","8,027","10,000","7,253","19,508","2,128","2,631","1,544","9,920","3,285"
"        Margin of Error","±4,188","±2,499","±2,368","±1,781","±2,376","±1,898","","±2,632","±1,659","±1,547","±949","±1,287","±1,164","±3,053","±1,758","±1,712","±1,399","±1,466","±1,243","±2,153","±584","±678","±671","±1,612","±700"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.2%","18.9%","13.3%","26.4%","18.2%","","(X)","28.6%","22.3%","10.2%","17.4%","21.5%","(X)","24.4%","18.6%","18.1%","22.6%","16.4%","(X)","10.9%","13.5%","7.9%","50.9%","16.8%"
"        Margin of Error","(X)","±2.6","±2.2","±1.7","±2.0","±1.8","","(X)","±4.2","±4.5","±2.6","±3.3","±3.1","(X)","±3.6","±3.4","±3.0","±3.0","±2.6","(X)","±3.0","±2.9","±3.3","±5.0","±3.6"
"Tennessee","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,467,481","447,716","167,126","323,211","182,724","346,704","","489,956","163,176","61,547","92,456","36,053","136,724","669,095","198,881","73,916","173,055","73,449","149,794","308,430","85,659","31,663","57,700","73,222","60,186"
"        Margin of Error","±18,871","±12,836","±6,516","±11,082","±7,867","±9,722","","±11,273","±8,093","±4,968","±6,163","±3,886","±6,499","±14,406","±8,957","±4,786","±7,980","±4,954","±5,685","±7,832","±4,579","±2,941","±3,791","±3,612","±3,857"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","30.5%","11.4%","22.0%","12.5%","23.6%","","(X)","33.3%","12.6%","18.9%","7.4%","27.9%","(X)","29.7%","11.0%","25.9%","11.0%","22.4%","(X)","27.8%","10.3%","18.7%","23.7%","19.5%"
"        Margin of Error","(X)","±0.7","±0.4","±0.7","±0.5","±0.6","","(X)","±1.5","±0.9","±1.2","±0.8","±1.2","(X)","±1.1","±0.7","±1.0","±0.7","±0.8","(X)","±1.3","±0.9","±1.1","±1.1","±1.2"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","677,040","260,500","46,070","182,211","37,545","150,714","","212,550","84,293","14,974","51,529","5,043","56,711","302,338","114,716","19,546","88,729","14,854","64,493","162,152","61,491","11,550","41,953","17,648","29,510"
"        Margin of Error","±11,689","±9,158","±3,671","±7,636","±3,156","±6,514","","±6,899","±5,700","±2,448","±4,237","±1,371","±4,485","±8,688","±6,013","±2,661","±5,021","±2,116","±3,943","±4,945","±3,693","±1,747","±3,192","±2,041","±3,080"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","38.5%","6.8%","26.9%","5.5%","22.3%","","(X)","39.7%","7.0%","24.2%","2.4%","26.7%","(X)","37.9%","6.5%","29.3%","4.9%","21.3%","(X)","37.9%","7.1%","25.9%","10.9%","18.2%"
"        Margin of Error","(X)","±1.2","±0.5","±1.0","±0.5","±0.9","","(X)","±2.3","±1.1","±1.9","±0.6","±1.9","(X)","±1.6","±0.9","±1.5","±0.7","±1.1","(X)","±1.9","±1.1","±1.7","±1.3","±1.8"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","790,441","187,216","121,056","141,000","145,179","195,990","","277,406","78,883","46,573","40,927","31,010","80,013","366,757","84,165","54,370","84,326","58,595","85,301","146,278","24,168","20,113","15,747","55,574","30,676"
"        Margin of Error","±12,899","±7,980","±5,377","±6,838","±7,349","±7,522","","±8,129","±5,195","±3,975","±4,342","±3,589","±4,626","±9,150","±5,883","±3,595","±5,598","±4,594","±4,500","±5,387","±2,422","±2,341","±2,172","±3,283","±2,725"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.7%","15.3%","17.8%","18.4%","24.8%","","(X)","28.4%","16.8%","14.8%","11.2%","28.8%","(X)","22.9%","14.8%","23.0%","16.0%","23.3%","(X)","16.5%","13.7%","10.8%","38.0%","21.0%"
"        Margin of Error","(X)","±0.9","±0.6","±0.9","±0.9","±0.9","","(X)","±1.6","±1.3","±1.5","±1.3","±1.6","(X)","±1.4","±0.9","±1.5","±1.2","±1.1","(X)","±1.5","±1.4","±1.5","±1.8","±1.7"
"Texas","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,366,437","2,295,397","588,911","1,486,058","684,592","1,311,479","","2,290,995","889,041","217,299","498,505","139,221","546,929","2,941,071","1,054,325","271,228","755,531","297,198","562,789","1,134,371","352,031","100,384","232,022","248,173","201,761"
"        Margin of Error","±43,218","±30,001","±17,473","±25,310","±14,900","±24,768","","±28,044","±21,398","±11,537","±17,200","±9,017","±19,717","±32,686","±21,317","±11,918","±18,240","±10,019","±15,751","±17,488","±10,285","±5,296","±7,595","±8,901","±7,368"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36.1%","9.3%","23.3%","10.8%","20.6%","","(X)","38.8%","9.5%","21.8%","6.1%","23.9%","(X)","35.8%","9.2%","25.7%","10.1%","19.1%","(X)","31.0%","8.8%","20.5%","21.9%","17.8%"
"        Margin of Error","(X)","±0.4","±0.3","±0.4","±0.2","±0.4","","(X)","±0.9","±0.5","±0.7","±0.4","±0.8","(X)","±0.6","±0.4","±0.6","±0.3","±0.5","(X)","±0.8","±0.5","±0.6","±0.7","±0.6"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,054,156","1,373,395","173,012","810,793","134,974","561,982","","1,032,185","475,396","56,939","256,030","23,412","220,408","1,425,183","638,975","82,353","393,217","59,272","251,366","596,788","259,024","33,720","161,546","52,290","90,208"
"        Margin of Error","±26,262","±22,360","±8,416","±17,174","±7,462","±13,809","","±16,673","±13,616","±5,572","±11,168","±3,562","±11,045","±22,413","±15,114","±6,377","±13,506","±4,666","±10,142","±10,870","±8,224","±3,304","±6,128","±4,683","±4,526"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","45.0%","5.7%","26.5%","4.4%","18.4%","","(X)","46.1%","5.5%","24.8%","2.3%","21.4%","(X)","44.8%","5.8%","27.6%","4.2%","17.6%","(X)","43.4%","5.7%","27.1%","8.8%","15.1%"
"        Margin of Error","(X)","±0.6","±0.3","±0.5","±0.2","±0.4","","(X)","±1.2","±0.5","±1.0","±0.3","±1.0","(X)","±0.8","±0.4","±0.8","±0.3","±0.7","(X)","±1.0","±0.6","±0.9","±0.8","±0.7"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,312,281","922,002","415,899","675,265","549,618","749,497","","1,258,810","413,645","160,360","242,475","115,809","326,521","1,515,888","415,350","188,875","362,314","237,926","311,423","537,583","93,007","66,664","70,476","195,883","111,553"
"        Margin of Error","±29,008","±18,724","±14,642","±18,299","±13,829","±16,647","","±20,925","±14,654","±9,309","±13,357","±8,103","±12,895","±21,084","±12,996","±9,969","±12,737","±9,491","±10,929","±11,596","±6,294","±4,405","±4,452","±7,753","±6,091"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","27.8%","12.6%","20.4%","16.6%","22.6%","","(X)","32.9%","12.7%","19.3%","9.2%","25.9%","(X)","27.4%","12.5%","23.9%","15.7%","20.5%","(X)","17.3%","12.4%","13.1%","36.4%","20.8%"
"        Margin of Error","(X)","±0.5","±0.4","±0.5","±0.4","±0.4","","(X)","±1.1","±0.7","±1.0","±0.6","±0.9","(X)","±0.8","±0.6","±0.8","±0.6","±0.7","(X)","±1.1","±0.8","±0.8","±1.2","±1.0"
"Utah","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","740,097","248,290","74,473","143,816","93,971","179,547","","280,757","96,505","32,165","50,531","24,297","77,259","327,713","110,164","32,070","70,137","39,947","75,395","131,627","41,621","10,238","23,148","29,727","26,893"
"        Margin of Error","±14,392","±8,137","±4,264","±6,225","±4,607","±8,730","","±9,967","±4,959","±3,206","±4,397","±2,314","±5,800","±7,984","±5,602","±2,911","±4,915","±3,039","±4,276","±4,386","±3,114","±1,472","±2,188","±2,784","±2,738"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.5%","10.1%","19.4%","12.7%","24.3%","","(X)","34.4%","11.5%","18.0%","8.7%","27.5%","(X)","33.6%","9.8%","21.4%","12.2%","23.0%","(X)","31.6%","7.8%","17.6%","22.6%","20.4%"
"        Margin of Error","(X)","±1.0","±0.6","±0.7","±0.6","±1.0","","(X)","±1.7","±1.1","±1.2","±0.8","±1.6","(X)","±1.5","±0.8","±1.4","±0.9","±1.2","(X)","±2.3","±1.1","±1.5","±1.8","±1.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,706","164,146","26,432","101,588","19,849","79,691","","137,247","57,607","9,632","34,146","2,933","32,929","177,957","73,278","13,113","48,283","8,757","34,526","76,502","33,261","3,687","19,159","8,159","12,236"
"        Margin of Error","±9,142","±6,188","±2,593","±5,447","±2,214","±4,537","","±6,328","±3,432","±1,582","±3,652","±833","±3,288","±5,651","±4,348","±2,113","±4,230","±1,582","±2,833","±3,018","±2,685","±856","±1,931","±1,267","±1,776"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.9%","6.7%","25.9%","5.1%","20.3%","","(X)","42.0%","7.0%","24.9%","2.1%","24.0%","(X)","41.2%","7.4%","27.1%","4.9%","19.4%","(X)","43.5%","4.8%","25.0%","10.7%","16.0%"
"        Margin of Error","(X)","±1.3","±0.6","±1.2","±0.6","±1.0","","(X)","±2.2","±1.2","±2.0","±0.6","±2.0","(X)","±2.2","±1.1","±2.2","±0.9","±1.5","(X)","±3.1","±1.1","±2.3","±1.6","±2.3"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","348,391","84,144","48,041","42,228","74,122","99,856","","143,510","38,898","22,533","16,385","21,364","44,330","149,756","36,886","18,957","21,854","31,190","40,869","55,125","8,360","6,551","3,989","21,568","14,657"
"        Margin of Error","±7,979","±4,453","±3,589","±3,111","±3,749","±6,403","","±5,832","±3,408","±2,778","±2,448","±2,235","±3,917","±5,088","±2,903","±2,251","±1,914","±2,620","±3,201","±2,751","±1,336","±1,206","±870","±2,212","±1,798"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.2%","13.8%","12.1%","21.3%","28.7%","","(X)","27.1%","15.7%","11.4%","14.9%","30.9%","(X)","24.6%","12.7%","14.6%","20.8%","27.3%","(X)","15.2%","11.9%","7.2%","39.1%","26.6%"
"        Margin of Error","(X)","±1.2","±1.0","±0.8","±1.1","±1.6","","(X)","±2.2","±1.8","±1.6","±1.5","±2.3","(X)","±1.6","±1.4","±1.2","±1.7","±1.9","(X)","±2.4","±2.2","±1.5","±3.1","±3.1"
"Vermont","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","205,621","76,108","16,107","26,262","25,765","61,379","","58,016","23,854","5,007","7,182","4,499","17,474","94,144","35,544","6,965","13,965","10,216","27,454","53,461","16,710","4,135","5,115","11,050","16,451"
"        Margin of Error","±5,660","±4,155","±2,108","±2,326","±2,303","±3,230","","±3,473","±2,691","±1,170","±1,412","±907","±1,966","±4,058","±2,675","±1,400","±1,913","±1,639","±2,345","±2,735","±1,565","±750","±1,061","±1,268","±1,815"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.0%","7.8%","12.8%","12.5%","29.9%","","(X)","41.1%","8.6%","12.4%","7.8%","30.1%","(X)","37.8%","7.4%","14.8%","10.9%","29.2%","(X)","31.3%","7.7%","9.6%","20.7%","30.8%"
"        Margin of Error","(X)","±1.8","±1.0","±1.1","±1.0","±1.4","","(X)","±3.6","±1.9","±2.3","±1.6","±3.2","(X)","±2.5","±1.4","±2.0","±1.6","±2.1","(X)","±2.6","±1.4","±2.0","±2.2","±2.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","91,588","40,558","3,647","14,760","6,144","26,479","","24,491","11,616","947","3,812","809","7,307","40,812","17,981","1,626","6,999","2,225","11,981","26,285","10,961","1,074","3,949","3,110","7,191"
"        Margin of Error","±3,588","±2,394","±897","±1,745","±1,050","±2,044","","±2,129","±1,626","±400","±957","±460","±1,074","±2,405","±1,749","±678","±1,494","±788","±1,366","±1,651","±1,143","±335","±936","±621","±1,156"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","44.3%","4.0%","16.1%","6.7%","28.9%","","(X)","47.4%","3.9%","15.6%","3.3%","29.8%","(X)","44.1%","4.0%","17.1%","5.5%","29.4%","(X)","41.7%","4.1%","15.0%","11.8%","27.4%"
"        Margin of Error","(X)","±2.3","±1.0","±1.7","±1.1","±1.9","","(X)","±4.8","±1.6","±3.6","±1.9","±3.7","(X)","±3.7","±1.7","±3.4","±1.8","±3.0","(X)","±3.9","±1.3","±3.5","±2.2","±3.6"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","114,033","35,550","12,460","11,502","19,621","34,900","","33,525","12,238","4,060","3,370","3,690","10,167","53,332","17,563","5,339","6,966","7,991","15,473","27,176","5,749","3,061","1,166","7,940","9,260"
"        Margin of Error","±3,616","±2,699","±1,807","±1,495","±2,066","±2,233","","±2,293","±1,689","±978","±1,008","±969","±1,452","±2,520","±1,442","±1,229","±1,117","±1,488","±1,648","±1,833","±983","±670","±374","±1,086","±1,274"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","31.2%","10.9%","10.1%","17.2%","30.6%","","(X)","36.5%","12.1%","10.1%","11.0%","30.3%","(X)","32.9%","10.0%","13.1%","15.0%","29.0%","(X)","21.2%","11.3%","4.3%","29.2%","34.1%"
"        Margin of Error","(X)","±2.1","±1.5","±1.3","±1.7","±1.9","","(X)","±4.2","±2.7","±2.9","±2.8","±4.2","(X)","±2.7","±2.2","±2.1","±2.5","±2.7","(X)","±3.3","±2.4","±1.4","±3.7","±3.7"
"Virginia","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,484,460","1,017,489","193,250","462,963","220,242","590,516","","809,120","364,324","66,899","134,011","40,849","203,037","1,186,200","472,939","86,209","256,950","91,525","278,577","489,140","180,226","40,142","72,002","87,868","108,902"
"        Margin of Error","±23,572","±16,067","±8,281","±10,266","±7,280","±11,759","","±12,440","±9,177","±4,501","±6,147","±4,079","±7,165","±17,709","±12,084","±5,399","±7,796","±4,494","±9,175","±7,913","±5,169","±2,776","±3,402","±4,215","±3,951"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.0%","7.8%","18.6%","8.9%","23.8%","","(X)","45.0%","8.3%","16.6%","5.0%","25.1%","(X)","39.9%","7.3%","21.7%","7.7%","23.5%","(X)","36.8%","8.2%","14.7%","18.0%","22.3%"
"        Margin of Error","(X)","±0.5","±0.3","±0.4","±0.3","±0.5","","(X)","±0.9","±0.6","±0.7","±0.5","±0.8","(X)","±0.8","±0.4","±0.7","±0.3","±0.7","(X)","±0.9","±0.6","±0.7","±0.7","±0.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,186,381","593,860","49,399","244,937","46,166","252,019","","361,080","192,124","14,953","65,849","8,085","80,069","570,436","276,634","22,521","129,180","18,894","123,207","254,865","125,102","11,925","49,908","19,187","48,743"
"        Margin of Error","±13,374","±11,474","±3,804","±6,257","±3,590","±8,583","","±7,523","±5,527","±2,115","±4,273","±1,566","±4,702","±10,464","±7,706","±2,776","±5,227","±2,210","±6,086","±5,281","±4,483","±1,706","±2,604","±2,012","±2,804"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","50.1%","4.2%","20.6%","3.9%","21.2%","","(X)","53.2%","4.1%","18.2%","2.2%","22.2%","(X)","48.5%","3.9%","22.6%","3.3%","21.6%","(X)","49.1%","4.7%","19.6%","7.5%","19.1%"
"        Margin of Error","(X)","±0.7","±0.3","±0.5","±0.3","±0.6","","(X)","±1.3","±0.6","±1.1","±0.4","±1.2","(X)","±1.0","±0.5","±0.9","±0.4","±1.0","(X)","±1.5","±0.7","±1.0","±0.8","±1.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,298,079","423,629","143,851","218,026","174,076","338,497","","448,040","172,200","51,946","68,162","32,764","122,968","615,764","196,305","63,688","127,770","72,631","155,370","234,275","55,124","28,217","22,094","68,681","60,159"
